UUID        = 61d2d1b4-694b-4d43-9460-5caf62d01661
ScanDate    = 20210611_103822
LogVersion  = EJA_1
LogDataType = RESP
SampleTime  = 8

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     15324385     RESP   1682 
     15324393     RESP   1652 
     15324401     RESP   1622 
     15324409     RESP   1592 
     15324417     RESP   1568 
     15324425     RESP   1544 
     15324433     RESP   1520 
     15324441     RESP   1496 
     15324449     RESP   1472 
     15324457     RESP   1439 
     15324465     RESP   1406 
     15324473     RESP   1370 
     15324481     RESP   1343 
     15324489     RESP   1334 
     15324497     RESP   1334 
     15324505     RESP   1325 
     15324513     RESP   1313 
     15324521     RESP   1295 
     15324529     RESP   1262 
     15324537     RESP   1202 
     15324545     RESP   1130 
     15324553     RESP   1070 
     15324561     RESP   1031 
     15324569     RESP   1010 
     15324577     RESP   1001 
     15324585     RESP    998 
     15324593     RESP    998 
     15324601     RESP   1001 
     15324609     RESP    995 
     15324617     RESP    983 
     15324625     RESP    968 
     15324633     RESP    950 
     15324641     RESP    944 
     15324649     RESP    956 
     15324657     RESP    962 
     15324665     RESP    959 
     15324673     RESP    950 
     15324681     RESP    947 
     15324689     RESP    953 
     15324697     RESP    959 
     15324705     RESP    965 
     15324713     RESP    965 
     15324721     RESP    959 
     15324729     RESP    956 
     15324737     RESP    956 
     15324745     RESP    959 
     15324753     RESP    956 
     15324761     RESP    950 
     15324769     RESP    950 
     15324777     RESP    950 
     15324785     RESP    953 
     15324793     RESP    953 
     15324801     RESP    953 
     15324809     RESP    950 
     15324817     RESP    956 
     15324825     RESP    959 
     15324833     RESP    962 
     15324841     RESP    962 
     15324849     RESP    968 
     15324857     RESP    974 
     15324865     RESP    980 
     15324873     RESP    983 
     15324881     RESP    989 
     15324889     RESP    992 
     15324897     RESP    995 
     15324905     RESP    995 
     15324913     RESP    995 
     15324921     RESP   1004 
     15324929     RESP   1019 
     15324937     RESP   1043 
     15324945     RESP   1058 
     15324953     RESP   1076 
     15324961     RESP   1076 
     15324969     RESP   1052 
     15324977     RESP   1007 
     15324985     RESP    962 
     15324993     RESP    932 
     15325001     RESP    923 
     15325009     RESP    920 
     15325017     RESP    926 
     15325025     RESP    935 
     15325033     RESP    953 
     15325041     RESP    962 
     15325049     RESP    968 
     15325057     RESP    968 
     15325065     RESP    971 
     15325073     RESP    983 
     15325081     RESP   1004 
     15325089     RESP   1025 
     15325097     RESP   1037 
     15325105     RESP   1046 
     15325113     RESP   1052 
     15325121     RESP   1064 
     15325129     RESP   1073 
     15325137     RESP   1091 
     15325145     RESP   1106 
     15325153     RESP   1118 
     15325161     RESP   1133 
     15325169     RESP   1142 
     15325177     RESP   1157 
     15325185     RESP   1169 
     15325193     RESP   1184 
     15325201     RESP   1193 
     15325209     RESP   1205 
     15325217     RESP   1217 
     15325225     RESP   1229 
     15325233     RESP   1241 
     15325241     RESP   1253 
     15325249     RESP   1265 
     15325257     RESP   1280 
     15325265     RESP   1298 
     15325273     RESP   1316 
     15325281     RESP   1337 
     15325289     RESP   1364 
     15325297     RESP   1394 
     15325305     RESP   1430 
     15325313     RESP   1469 
     15325321     RESP   1502 
     15325329     RESP   1547 
     15325337     RESP   1589 
     15325345     RESP   1634 
     15325353     RESP   1682 
     15325361     RESP   1736 
     15325369     RESP   1793 
     15325377     RESP   1853 
     15325385     RESP   1907 
     15325393     RESP   1955 
     15325401     RESP   2006 
     15325409     RESP   2075 
     15325417     RESP   2159 
     15325425     RESP   2237 
     15325433     RESP   2306 
     15325441     RESP   2360 
     15325449     RESP   2399 
     15325457     RESP   2420 
     15325465     RESP   2429 
     15325473     RESP   2441 
     15325481     RESP   2471 
     15325489     RESP   2507 
     15325497     RESP   2555 
     15325505     RESP   2612 
     15325513     RESP   2675 
     15325521     RESP   2744 
     15325529     RESP   2798 
     15325537     RESP   2843 
     15325545     RESP   2888 
     15325553     RESP   2927 
     15325561     RESP   2966 
     15325569     RESP   3020 
     15325577     RESP   3080 
     15325585     RESP   3137 
     15325593     RESP   3182 
     15325601     RESP   3227 
     15325609     RESP   3278 
     15325617     RESP   3326 
     15325625     RESP   3380 
     15325633     RESP   3431 
     15325641     RESP   3479 
     15325649     RESP   3527 
     15325657     RESP   3584 
     15325665     RESP   3638 
     15325673     RESP   3686 
     15325681     RESP   3725 
     15325689     RESP   3752 
     15325697     RESP   3770 
     15325705     RESP   3791 
     15325713     RESP   3812 
     15325721     RESP   3836 
     15325729     RESP   3863 
     15325737     RESP   3884 
     15325745     RESP   3902 
     15325753     RESP   3920 
     15325761     RESP   3935 
     15325769     RESP   3947 
     15325777     RESP   3956 
     15325785     RESP   3965 
     15325793     RESP   3977 
     15325801     RESP   3995 
     15325809     RESP   4010 
     15325817     RESP   4019 
     15325825     RESP   4019 
     15325833     RESP   4022 
     15325841     RESP   4022 
     15325849     RESP   4031 
     15325857     RESP   4037 
     15325865     RESP   4013 
     15325873     RESP   3965 
     15325881     RESP   3899 
     15325889     RESP   3824 
     15325897     RESP   3749 
     15325905     RESP   3671 
     15325913     RESP   3608 
     15325921     RESP   3542 
     15325929     RESP   3479 
     15325937     RESP   3416 
     15325945     RESP   3353 
     15325953     RESP   3287 
     15325961     RESP   3227 
     15325969     RESP   3164 
     15325977     RESP   3092 
     15325985     RESP   3008 
     15325993     RESP   2924 
     15326001     RESP   2843 
     15326009     RESP   2771 
     15326017     RESP   2708 
     15326025     RESP   2636 
     15326033     RESP   2570 
     15326041     RESP   2501 
     15326049     RESP   2432 
     15326057     RESP   2363 
     15326065     RESP   2294 
     15326073     RESP   2234 
     15326081     RESP   2186 
     15326089     RESP   2138 
     15326097     RESP   2096 
     15326105     RESP   2051 
     15326113     RESP   1997 
     15326121     RESP   1946 
     15326129     RESP   1895 
     15326137     RESP   1853 
     15326145     RESP   1811 
     15326153     RESP   1760 
     15326161     RESP   1709 
     15326169     RESP   1658 
     15326177     RESP   1604 
     15326185     RESP   1550 
     15326193     RESP   1505 
     15326201     RESP   1460 
     15326209     RESP   1415 
     15326217     RESP   1382 
     15326225     RESP   1346 
     15326233     RESP   1307 
     15326241     RESP   1271 
     15326249     RESP   1244 
     15326257     RESP   1229 
     15326265     RESP   1223 
     15326273     RESP   1214 
     15326281     RESP   1202 
     15326289     RESP   1178 
     15326297     RESP   1130 
     15326305     RESP   1064 
     15326313     RESP    992 
     15326321     RESP    935 
     15326329     RESP    899 
     15326337     RESP    872 
     15326345     RESP    866 
     15326353     RESP    872 
     15326361     RESP    878 
     15326369     RESP    875 
     15326377     RESP    863 
     15326385     RESP    851 
     15326393     RESP    833 
     15326401     RESP    824 
     15326409     RESP    830 
     15326417     RESP    845 
     15326425     RESP    854 
     15326433     RESP    848 
     15326441     RESP    845 
     15326449     RESP    845 
     15326457     RESP    851 
     15326465     RESP    854 
     15326473     RESP    863 
     15326481     RESP    869 
     15326489     RESP    875 
     15326497     RESP    887 
     15326505     RESP    899 
     15326513     RESP    908 
     15326521     RESP    914 
     15326529     RESP    923 
     15326537     RESP    926 
     15326545     RESP    935 
     15326553     RESP    944 
     15326561     RESP    953 
     15326569     RESP    962 
     15326577     RESP    971 
     15326585     RESP    980 
     15326593     RESP    992 
     15326601     RESP   1004 
     15326609     RESP   1025 
     15326617     RESP   1040 
     15326625     RESP   1055 
     15326633     RESP   1073 
     15326641     RESP   1085 
     15326649     RESP   1103 
     15326657     RESP   1118 
     15326665     RESP   1133 
     15326673     RESP   1142 
     15326681     RESP   1151 
     15326689     RESP   1169 
     15326697     RESP   1193 
     15326705     RESP   1223 
     15326713     RESP   1247 
     15326721     RESP   1262 
     15326729     RESP   1271 
     15326737     RESP   1262 
     15326745     RESP   1226 
     15326753     RESP   1187 
     15326761     RESP   1154 
     15326769     RESP   1133 
     15326777     RESP   1124 
     15326785     RESP   1115 
     15326793     RESP   1115 
     15326801     RESP   1127 
     15326809     RESP   1145 
     15326817     RESP   1163 
     15326825     RESP   1178 
     15326833     RESP   1181 
     15326841     RESP   1184 
     15326849     RESP   1193 
     15326857     RESP   1214 
     15326865     RESP   1226 
     15326873     RESP   1232 
     15326881     RESP   1238 
     15326889     RESP   1241 
     15326897     RESP   1244 
     15326905     RESP   1250 
     15326913     RESP   1265 
     15326921     RESP   1274 
     15326929     RESP   1289 
