UUID        = 61d2d1b4-694b-4d43-9460-5caf62d01661
ScanDate    = 20210611_103822
LogVersion  = EJA_1
LogDataType = PULS
SampleTime  = 2

ACQ_TIME_TICS  CHANNEL  VALUE  SIGNAL

     15322927     PULS   1664 
     15322929     PULS   1694 
     15322931     PULS   1738 
     15322933     PULS   1753 
     15322935     PULS   1767 
     15322937     PULS   1767 
     15322939     PULS   1753 
     15322941     PULS   1753 
     15322943     PULS   1738 
     15322945     PULS   1753 
     15322947     PULS   1753 
     15322949     PULS   1767 
     15322951     PULS   1767 
     15322953     PULS   1767 
     15322955     PULS   1797 
     15322957     PULS   1812 
     15322959     PULS   1812 
     15322961     PULS   1826 
     15322963     PULS   1826 
     15322965     PULS   1826 
     15322967     PULS   1812 
     15322969     PULS   1797 
     15322971     PULS   1782 
     15322973     PULS   1738 
     15322975     PULS   1708 
     15322977     PULS   1679 
     15322979     PULS   1649 
     15322981     PULS   1649 
     15322983     PULS   1649 
     15322985     PULS   1664 
     15322987     PULS   1694 
     15322989     PULS   1708 
     15322991     PULS   1738 
     15322993     PULS   1753 
     15322995     PULS   1767 
     15322997     PULS   1782 
     15322999     PULS   1797 
     15323001     PULS   1826 
     15323003     PULS   1841 
     15323005     PULS   1871 
     15323007     PULS   1885 
     15323009     PULS   1900 
     15323011     PULS   1915 
     15323013     PULS   1930 
     15323015     PULS   1944 
     15323017     PULS   1974 
     15323019     PULS   2003 
     15323021     PULS   2018 
     15323023     PULS   2033 
     15323027     PULS   2036 
     15323029     PULS   2024 
     15323031     PULS   2012 
     15323033     PULS   1989 
     15323035     PULS   1977 
     15323037     PULS   1965 
     15323039     PULS   1930 
     15323041     PULS   1907 
     15323043     PULS   1883 
     15323045     PULS   1860  PULS_TRIGGER
     15323047     PULS   1836 
     15323049     PULS   1813 
     15323051     PULS   1801 
     15323053     PULS   1789 
     15323055     PULS   1777 
     15323057     PULS   1789 
     15323059     PULS   1777 
     15323061     PULS   1754 
     15323063     PULS   1730 
     15323065     PULS   1719 
     15323067     PULS   1683 
     15323069     PULS   1672 
     15323071     PULS   1660 
     15323073     PULS   1648 
     15323075     PULS   1636 
     15323077     PULS   1625 
     15323079     PULS   1613 
     15323081     PULS   1601 
     15323083     PULS   1613 
     15323085     PULS   1613 
     15323087     PULS   1625 
     15323089     PULS   1636 
     15323091     PULS   1660 
     15323093     PULS   1672 
     15323095     PULS   1695 
     15323097     PULS   1719 
     15323099     PULS   1719 
     15323101     PULS   1719 
     15323103     PULS   1730 
     15323105     PULS   1719 
     15323107     PULS   1719 
     15323109     PULS   1707 
     15323111     PULS   1719 
     15323113     PULS   1742 
     15323115     PULS   1766 
     15323117     PULS   1801 
     15323119     PULS   1836 
     15323121     PULS   1871 
     15323123     PULS   1907 
     15323125     PULS   1918 
     15323127     PULS   1918 
     15323129     PULS   1918 
     15323131     PULS   1895 
     15323133     PULS   1871 
     15323135     PULS   1848 
     15323137     PULS   1813 
     15323139     PULS   1789 
     15323141     PULS   1766 
     15323143     PULS   1742 
     15323145     PULS   1719 
     15323147     PULS   1707 
     15323149     PULS   1672 
     15323151     PULS   1648 
